title,price,age,quantity,link
Шарлатаны из Кведлинбурга: Ведьмы-травницы,78.00 руб.,Возраст игроков 10+,Количество игроков 2-5,http://www.nastolki.by/все-игры/шарлатаны-из-кведлинбурга-ведьмы-травницы/
Ксиа. Тайны дрейфующей системы + дополнение Ксиа. Миссии и способности,350.00 руб.,Возраст игроков 12+,Количество игроков 3-5,http://www.nastolki.by/все-игры/ксиа.-тайны-дрейфующей-системы-дополнение-ксиа.-миссии-и-способности/
Конкордия. Британия / Германия (Concordia: Britannia & Germania),56.00 руб.,Возраст игроков 12+,Количество игроков 2-5,http://www.nastolki.by/все-игры/конкордия.-британия/германия-concordia-britannia-germania/
Конкордия. Сальса (Concordia: Salsa),74.00 руб.,Возраст игроков 12+,Количество игроков 2-5,http://www.nastolki.by/все-игры/конкордия.-сальса-concordia-salsa/
Запретный город (The Forbidden City),104.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/запретный-город-the-forbidden-city/
Ла-Гранха (La Granja),87.00 руб.,Возраст игроков 14+,Количество игроков 1-4,http://www.nastolki.by/все-игры/ла-гранха-la-granja/
Покорение Марса: Кризис (Terraforming Mars: Turmoil),74.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/покорение-марса-кризис-terraforming-mars-turmoil/
Поселенцы. Амазонки (дополнение) (Imperial Settlers: Amazons),54.00 руб.,Возраст игроков 10+,Количество игроков 1-5,http://www.nastolki.by/все-игры/поселенцы.-амазонки-дополнение-imperial-settlers-amazons/
Санта-Мария,85.00 руб.,Возраст игроков 12+,Количество игроков 1-4,http://www.nastolki.by/все-игры/санта-мария/
Подводные города (Underwater Cities),132.00 руб.,Возраст игроков 12+,Количество игроков 1-4,http://www.nastolki.by/все-игры/подводные-города-underwater-cities/
Купцы. Долина трех народов (Эврикус),21.00 руб.,Возраст игроков 8+,Количество игроков 2-5,http://www.nastolki.by/все-игры/купцы.-долина-трех-народов-эврикус/
