title,price,age,quantity,link
Сплэш Атак (Splash Attack),31.50 руб.,Возраст игроков 5+,Количество игроков 2-4,http://www.nastolki.by/все-игры/сплэш-атак-splash-attack/
Ерундень Рождения,30.00 руб.,Возраст игроков 10+,Количество игроков 3-8,http://www.nastolki.by/все-игры/ерундень-рождения/
Гексоломка (Hexx and Hopp),33.60 руб.,Возраст игроков 9+,Количество игроков 2-5,http://www.nastolki.by/все-игры/гексоломка-hexx-and-hopp/
Не Телепат,33.00 руб.,Возраст игроков 8+,Количество игроков 2-7,http://www.nastolki.by/все-игры/не-телепат/
Русалочки (Magellan),32.00 руб.,Возраст игроков 5+,Количество игроков 2-6,http://www.nastolki.by/все-игры/русалочки-magellan/
Правильный мёд,32.00 руб.,Возраст игроков 7+,Количество игроков 2-5,http://www.nastolki.by/все-игры/правильный-мёд/
Шерлок Экспресс,32.00 руб.,Возраст игроков 7+,Количество игроков 2-6,http://www.nastolki.by/все-игры/шерлок-экспресс/
Тор. Рагнарёк,32.00 руб.,Возраст игроков 8+,Количество игроков 2-5,http://www.nastolki.by/все-игры/тор.-рагнарёк/
Детство Барабашки,35.00 руб.,Возраст игроков 4+,Количество игроков 2-6,http://www.nastolki.by/все-игры/детство-барабашки/
Голливуд: Режиссёрская версия,37.00 руб.,Возраст игроков 10+,Количество игроков 2-5,http://www.nastolki.by/все-игры/голливуд-режиссёрская-версия/
Моё первое Клюедо (Cluedo Junior),49.50 руб.,Возраст игроков 5+,Количество игроков 2-6,http://www.nastolki.by/все-игры/моё-первое-клюедо-cluedo-junior/
54 Градуса (Алкогольная Башня),44.00 руб.,Возраст игроков 18+,Количество игроков 2+,http://www.nastolki.by/все-игры/54-градуса-алкогольная-башня/
Чудища (Whoosh: bounty hunters),44.00 руб.,Возраст игроков 8+,Количество игроков 2-8,http://www.nastolki.by/все-игры/чудища-whoosh-bounty-hunters/
РобинзонАда (Hellapagos),48.00 руб.,Возраст игроков 10+,Количество игроков 3-12,http://www.nastolki.by/все-игры/робинзонада-hellapagos/
